order_id,customer_id,product,quantity,unit_price,order_date,region,status,total_amount
ORD01707,CUST0130,Mouse,4,1221.54,2025-04-11,North,Pending,4886.16
ORD00111,CUST0074,Monitor,4,960.48,2025-04-28,South,Completed,3841.92
ORD01465,CUST0272,Headphones,1,42.56,2025-07-17,East,Unknown,42.56
ORD00197,CUST0103,Keyboard,2,1187.66,2025-01-07,North,Pending,2375.32
ORD00573,CUST0132,Laptop,3,338.88,2025-07-03,North,Pending,1016.64
ORD01534,CUST0199,Headphones,1,1197.23,2025-04-04,West,Cancelled,1197.23
ORD00976,CUST0070,Webcam,1,1125.53,2025-05-05,North,Completed,1125.53
ORD00493,CUST0267,Headphones,1,402.34,2025-05-20,South,Completed,402.34
ORD01471,CUST0038,Charger,3,703.92,2025-08-16,South,Unknown,2111.76
ORD00361,CUST0016,Charger,1,645.73,2025-04-01,South,Cancelled,645.73
ORD00431,CUST0152,Headphones,4,84.62,2025-07-28,East,Completed,338.48
ORD00329,CUST0227,Monitor,1,1345.92,2025-02-05,North,Unknown,1345.92
ORD00566,CUST0225,Monitor,1,1036.98,2025-04-02,South,Cancelled,1036.98
ORD00958,CUST0044,Webcam,2,648.9,2025-06-28,South,Completed,1297.8
ORD00756,CUST0062,Webcam,5,1102.11,2025-01-05,South,Pending,5510.55
ORD01607,CUST0002,Charger,1,357.28,2025-01-13,North,Completed,357.28
ORD01304,CUST0052,Keyboard,1,1252.45,2025-01-07,South,Completed,1252.45
ORD00876,CUST0279,Tablet,1,524.42,2025-07-27,West,Pending,524.42
ORD01808,CUST0066,Keyboard,1,874.5,2025-06-21,South,Unknown,874.5
ORD01544,CUST0294,Charger,4,578.12,2025-05-02,East,Cancelled,2312.48
ORD01086,CUST0027,Charger,4,792.21,2025-06-29,South,Pending,3168.84
ORD00902,CUST0122,Tablet,5,1131.06,2025-04-09,East,Completed,5655.3
ORD00641,CUST0045,Tablet,2,563.66,2025-08-01,South,Pending,1127.32
ORD00594,CUST0227,Keyboard,4,76.87,2025-07-29,South,Unknown,307.48
ORD01314,CUST0277,Monitor,1,737.67,2025-07-30,East,Pending,737.67
ORD01790,CUST0117,Tablet,5,1158.55,2025-04-10,South,Cancelled,5792.75
ORD01884,CUST0094,Charger,5,172.07,2025-06-10,West,Pending,860.35
ORD01519,CUST0051,Mouse,1,1450.43,2025-03-03,North,Unknown,1450.43
ORD01495,CUST0296,Headphones,2,498.64,2025-04-06,South,Pending,997.28
ORD01265,CUST0178,Mouse,4,901.24,2025-06-06,North,Completed,3604.96
ORD00818,CUST0102,Headphones,1,1279.23,2025-01-13,North,Completed,1279.23
ORD01909,CUST0207,Charger,1,203.74,2025-02-05,North,Pending,203.74
ORD01178,CUST0250,Mouse,2,1034.13,2025-04-07,South,Completed,2068.26
ORD01119,CUST0198,Webcam,3,746.37,2025-05-04,West,Pending,2239.11
ORD01949,CUST0233,Mouse,3,1243.12,2025-02-21,South,Unknown,3729.36
ORD00928,CUST0029,Laptop,3,1276.39,2025-04-13,North,Completed,3829.17
ORD01752,CUST0208,Laptop,5,457.51,2025-08-09,North,Pending,2287.55
ORD00205,CUST0255,Headphones,1,1435.41,2025-05-04,East,Unknown,1435.41
ORD01595,CUST0036,Keyboard,2,939.81,2025-06-23,South,Completed,1879.62
ORD00173,CUST0114,Tablet,3,1396.4,2025-04-17,West,Pending,4189.2
ORD00528,CUST0278,Laptop,4,563.08,2025-03-22,North,Cancelled,2252.32
ORD01163,CUST0224,Charger,3,1269.19,2025-06-26,West,Unknown,3807.57
ORD00888,CUST0061,Charger,1,190.09,2025-05-27,North,Pending,190.09
ORD01959,CUST0158,Webcam,1,352.06,2025-06-15,North,Pending,352.06
ORD01079,CUST0102,Tablet,1,1474.56,2025-01-31,West,Pending,1474.56
ORD01383,CUST0243,Monitor,3,1087.82,2025-06-03,West,Unknown,3263.46
ORD01978,CUST0225,Laptop,2,860.85,2025-04-23,South,Completed,1721.7
ORD00141,CUST0285,Webcam,1,1146.28,2025-05-27,East,Completed,1146.28
ORD00186,CUST0226,Charger,3,1460.85,2025-05-08,West,Cancelled,4382.55
ORD01814,CUST0235,Headphones,2,625.97,2025-08-14,South,Cancelled,1251.94
ORD01887,CUST0271,Keyboard,4,78.72,2025-03-01,East,Pending,314.88
ORD01427,CUST0126,Tablet,1,1444.09,2025-01-02,North,Unknown,1444.09
ORD01629,CUST0137,Mouse,4,590.47,2025-02-19,South,Pending,2361.88
ORD01641,CUST0203,Keyboard,5,1236.04,2025-07-28,West,Pending,6180.2
ORD00242,CUST0289,Mouse,1,1244.87,2025-08-20,South,Pending,1244.87
ORD00545,CUST0043,Mouse,3,930.97,2025-01-22,West,Cancelled,2792.91
ORD00675,CUST0014,Headphones,4,132.94,2025-05-10,East,Cancelled,531.76
ORD01038,CUST0298,Laptop,1,463.07,2025-06-17,North,Pending,463.07
ORD00448,CUST0062,Charger,2,691.0,2025-07-20,South,Cancelled,1382.0
ORD00841,CUST0244,Headphones,5,904.51,2025-01-24,East,Cancelled,4522.55
ORD01509,CUST0215,Charger,5,298.12,2025-08-02,North,Pending,1490.6
ORD00003,CUST0280,Charger,2,679.32,2025-03-13,East,Pending,1358.64
ORD01426,CUST0091,Tablet,5,965.66,2025-07-25,East,Cancelled,4828.3
ORD00376,CUST0255,Keyboard,3,1120.56,2025-03-02,East,Pending,3361.68
ORD00373,CUST0081,Charger,1,1441.39,2025-06-16,South,Unknown,1441.39
ORD00956,CUST0007,Tablet,1,773.84,2025-07-14,East,Completed,773.84
ORD00109,CUST0015,Laptop,3,1196.25,2025-03-17,East,Completed,3588.75
ORD00817,CUST0115,Laptop,1,1385.44,2025-06-15,South,Pending,1385.44
ORD01829,CUST0278,Keyboard,1,1138.42,2025-07-06,East,Completed,1138.42
ORD01302,CUST0061,Mouse,4,637.32,2025-02-07,West,Unknown,2549.28
ORD00893,CUST0046,Charger,4,356.91,2025-04-12,North,Completed,1427.64
ORD00611,CUST0241,Webcam,2,1279.67,2025-05-06,South,Pending,2559.34
ORD01788,CUST0180,Laptop,3,1281.72,2025-07-22,North,Pending,3845.16
ORD00072,CUST0251,Mouse,4,1441.57,2025-06-12,South,Pending,5766.28
ORD00193,CUST0014,Keyboard,4,781.44,2025-08-22,North,Cancelled,3125.76
ORD01274,CUST0188,Headphones,1,373.87,2025-08-17,East,Unknown,373.87
ORD00035,CUST0271,Laptop,1,1227.49,2025-03-18,North,Pending,1227.49
ORD00387,CUST0135,Tablet,4,402.47,2025-08-03,North,Completed,1609.88
ORD00038,CUST0002,Webcam,2,959.3,2025-03-09,South,Completed,1918.6
ORD00057,CUST0227,Charger,5,674.41,2025-02-10,East,Completed,3372.05
ORD00896,CUST0244,Laptop,1,990.8,2025-05-17,North,Cancelled,990.8
ORD00755,CUST0035,Webcam,5,725.92,2025-04-22,South,Unknown,3629.6
ORD00904,CUST0127,Keyboard,3,856.69,2025-04-25,East,Unknown,2570.07
ORD01795,CUST0071,Headphones,4,1498.93,2025-03-13,East,Completed,5995.72
ORD01040,CUST0053,Keyboard,4,1426.09,2025-04-20,East,Pending,5704.36
ORD01935,CUST0237,Tablet,5,802.97,2025-04-09,South,Pending,4014.85
ORD01685,CUST0221,Laptop,1,792.51,2025-06-27,South,Pending,792.51
ORD01226,CUST0149,Keyboard,3,735.37,2025-01-17,North,Completed,2206.11
ORD01447,CUST0052,Monitor,5,735.97,2025-05-26,North,Completed,3679.85
ORD00416,CUST0028,Keyboard,2,1488.6,2025-03-29,North,Completed,2977.2
ORD00508,CUST0004,Mouse,5,20.72,2025-06-17,South,Cancelled,103.6
ORD01480,CUST0297,Mouse,2,1137.34,2025-01-31,South,Pending,2274.68
ORD00128,CUST0065,Monitor,1,1246.43,2025-05-22,North,Pending,1246.43
ORD00505,CUST0221,Charger,3,1313.49,2025-06-28,West,Pending,3940.47
ORD01977,CUST0296,Tablet,5,1076.08,2025-01-30,West,Pending,5380.4
ORD00631,CUST0045,Tablet,1,1036.09,2025-08-28,East,Completed,1036.09
ORD01510,CUST0206,Mouse,1,1112.09,2025-06-22,South,Completed,1112.09
ORD01588,CUST0050,Mouse,1,41.98,2025-08-24,East,Completed,41.98
ORD01822,CUST0218,Headphones,1,1208.84,2025-05-31,South,Completed,1208.84
ORD01735,CUST0038,Webcam,3,182.15,2025-08-20,West,Completed,546.45
ORD00661,CUST0077,Tablet,5,444.34,2025-06-07,West,Pending,2221.7
ORD01907,CUST0227,Charger,1,224.04,2025-07-06,South,Unknown,224.04
ORD00796,CUST0010,Keyboard,5,753.81,2025-06-19,West,Cancelled,3769.05
ORD00218,CUST0299,Headphones,1,1309.43,2025-06-11,North,Completed,1309.43
ORD00397,CUST0160,Headphones,4,1288.77,2025-06-25,East,Pending,5155.08
ORD00882,CUST0180,Headphones,3,1003.71,2025-07-28,North,Unknown,3011.13
ORD01442,CUST0035,Headphones,5,1442.87,2025-08-05,North,Completed,7214.35
ORD00977,CUST0225,Keyboard,4,1232.44,2025-08-04,South,Completed,4929.76
ORD00805,CUST0200,Monitor,4,334.83,2025-01-28,South,Cancelled,1339.32
ORD00480,CUST0130,Monitor,1,280.22,2025-07-24,East,Completed,280.22
ORD00413,CUST0133,Keyboard,1,1350.39,2025-06-17,South,Cancelled,1350.39
ORD01049,CUST0161,Mouse,1,201.94,2025-02-22,South,Completed,201.94
ORD01811,CUST0189,Webcam,4,574.3,2025-05-13,East,Completed,2297.2
ORD00351,CUST0044,Mouse,5,208.94,2025-07-29,North,Pending,1044.7
ORD00745,CUST0143,Monitor,1,134.55,2025-08-06,South,Unknown,134.55
ORD00562,CUST0058,Monitor,1,656.9,2025-01-04,East,Cancelled,656.9
ORD01951,CUST0009,Headphones,2,1048.72,2025-06-14,East,Completed,2097.44
ORD01817,CUST0249,Charger,2,1479.87,2025-05-22,South,Pending,2959.74
ORD01826,CUST0281,Tablet,1,212.22,2025-07-08,South,Cancelled,212.22
ORD00340,CUST0138,Mouse,1,509.17,2025-04-20,North,Completed,509.17
ORD01158,CUST0209,Headphones,5,1086.21,2025-04-26,South,Completed,5431.05
ORD00260,CUST0171,Headphones,1,325.59,2025-02-18,North,Unknown,325.59
ORD01956,CUST0262,Webcam,1,1340.82,2025-03-13,South,Cancelled,1340.82
ORD00870,CUST0044,Headphones,3,1075.65,2025-04-17,South,Unknown,3226.95
ORD01875,CUST0110,Charger,3,918.52,2025-03-30,North,Completed,2755.56
ORD00789,CUST0276,Webcam,1,696.75,2025-08-10,North,Pending,696.75
ORD01279,CUST0023,Monitor,2,575.2,2025-06-18,North,Completed,1150.4
ORD01418,CUST0215,Headphones,3,1158.04,2025-06-11,South,Unknown,3474.12
ORD00059,CUST0277,Mouse,2,234.74,2025-04-09,South,Unknown,469.48
ORD00326,CUST0062,Charger,1,206.94,2025-01-19,West,Completed,206.94
ORD01535,CUST0121,Webcam,5,542.04,2025-06-27,East,Unknown,2710.2
ORD01584,CUST0241,Mouse,5,981.83,2025-03-18,West,Completed,4909.15
ORD00741,CUST0155,Mouse,1,612.8,2025-05-08,West,Cancelled,612.8
ORD00682,CUST0222,Headphones,3,412.79,2025-07-25,East,Unknown,1238.37
ORD01807,CUST0216,Headphones,1,911.83,2025-01-01,West,Pending,911.83
ORD00859,CUST0148,Monitor,4,522.33,2025-03-01,South,Pending,2089.32
ORD01310,CUST0261,Charger,3,490.97,2025-03-23,South,Completed,1472.91
ORD00279,CUST0231,Tablet,2,540.16,2025-08-29,West,Pending,1080.32
ORD00670,CUST0020,Tablet,1,559.18,2025-05-29,South,Completed,559.18
ORD00929,CUST0006,Tablet,4,701.67,2025-04-20,North,Completed,2806.68
ORD01344,CUST0121,Webcam,4,1066.21,2025-05-12,East,Unknown,4264.84
ORD00008,CUST0088,Monitor,2,698.77,2025-03-11,South,Pending,1397.54
ORD01820,CUST0295,Keyboard,1,750.58,2025-05-16,South,Completed,750.58
ORD00201,CUST0083,Webcam,1,345.95,2025-08-29,East,Completed,345.95
ORD01421,CUST0298,Charger,4,621.34,2025-06-12,North,Pending,2485.36
ORD01026,CUST0064,Keyboard,5,953.99,2025-05-06,East,Unknown,4769.95
ORD01319,CUST0019,Laptop,2,213.94,2025-04-07,South,Pending,427.88
ORD00143,CUST0159,Webcam,3,19.1,2025-08-11,North,Unknown,57.3
ORD01596,CUST0101,Webcam,3,1070.0,2025-07-21,East,Pending,3210.0
ORD00021,CUST0031,Monitor,1,1359.08,2025-08-09,North,Pending,1359.08
ORD01239,CUST0080,Headphones,1,473.23,2025-08-28,East,Completed,473.23
ORD00207,CUST0164,Webcam,4,204.84,2025-04-05,North,Completed,819.36
ORD01514,CUST0250,Headphones,2,789.03,2025-01-23,North,Pending,1578.06
ORD00900,CUST0031,Webcam,2,50.49,2025-01-15,West,Completed,100.98
ORD01375,CUST0116,Monitor,3,1326.52,2025-02-15,East,Unknown,3979.56
ORD00451,CUST0054,Charger,1,904.81,2025-08-14,North,Completed,904.81
ORD01124,CUST0071,Mouse,1,1058.9,2025-04-07,North,Unknown,1058.9
ORD00849,CUST0003,Charger,1,29.82,2025-06-17,West,Unknown,29.82
ORD01451,CUST0250,Laptop,3,1341.12,2025-05-11,West,Pending,4023.36
ORD01699,CUST0168,Headphones,4,772.05,2025-04-09,North,Unknown,3088.2
ORD00362,CUST0018,Monitor,1,449.71,2025-04-16,West,Completed,449.71
ORD01150,CUST0163,Webcam,5,734.58,2025-06-29,West,Completed,3672.9
ORD00688,CUST0166,Headphones,2,1173.29,2025-03-12,West,Completed,2346.58
ORD01222,CUST0296,Charger,3,317.4,2025-01-23,West,Unknown,952.2
ORD00456,CUST0274,Headphones,4,1214.37,2025-05-14,North,Completed,4857.48
ORD01424,CUST0083,Tablet,3,1087.36,2025-03-03,West,Unknown,3262.08
ORD01968,CUST0091,Keyboard,3,725.32,2025-03-24,South,Cancelled,2175.96
ORD01667,CUST0082,Keyboard,2,1238.78,2025-04-12,East,Completed,2477.56
ORD00702,CUST0089,Laptop,3,1232.9,2025-01-25,North,Pending,3698.7
ORD01470,CUST0286,Mouse,5,245.75,2025-05-12,North,Completed,1228.75
ORD01168,CUST0213,Monitor,1,1351.28,2025-04-17,North,Completed,1351.28
ORD00588,CUST0077,Webcam,5,1049.68,2025-02-09,South,Unknown,5248.4
ORD01297,CUST0271,Laptop,5,713.77,2025-05-15,West,Cancelled,3568.85
ORD01123,CUST0072,Headphones,4,224.77,2025-08-07,West,Pending,899.08
ORD01406,CUST0041,Charger,1,1192.53,2025-05-27,East,Pending,1192.53
ORD01852,CUST0194,Mouse,2,625.33,2025-07-24,North,Pending,1250.66
ORD00442,CUST0236,Tablet,5,677.67,2025-08-08,West,Cancelled,3388.35
ORD01792,CUST0004,Webcam,4,136.99,2025-08-04,North,Pending,547.96
ORD01234,CUST0216,Mouse,2,926.66,2025-03-19,North,Pending,1853.32
ORD00557,CUST0191,Tablet,1,1189.22,2025-03-26,East,Pending,1189.22
ORD01738,CUST0239,Webcam,2,700.32,2025-04-17,South,Pending,1400.64
ORD01798,CUST0171,Webcam,1,282.1,2025-02-24,East,Completed,282.1
ORD00052,CUST0087,Mouse,3,778.02,2025-06-12,East,Completed,2334.06
ORD00037,CUST0259,Tablet,3,1358.95,2025-08-05,North,Unknown,4076.85
ORD00946,CUST0251,Monitor,1,131.3,2025-05-01,North,Completed,131.3
ORD01890,CUST0085,Charger,5,1062.18,2025-06-09,West,Pending,5310.9
ORD01179,CUST0006,Keyboard,1,855.27,2025-06-05,North,Cancelled,855.27
ORD01877,CUST0072,Charger,2,264.2,2025-07-05,South,Pending,528.4
ORD01930,CUST0065,Laptop,3,1199.59,2025-06-04,South,Pending,3598.77
ORD01689,CUST0095,Charger,1,843.9,2025-03-01,South,Cancelled,843.9
ORD01969,CUST0070,Charger,2,1295.48,2025-01-09,South,Pending,2590.96
ORD00846,CUST0258,Laptop,1,1113.37,2025-04-29,East,Pending,1113.37
ORD00607,CUST0075,Keyboard,3,111.04,2025-05-17,North,Pending,333.12
ORD01349,CUST0191,Headphones,4,699.69,2025-08-28,South,Unknown,2798.76
ORD01191,CUST0039,Charger,1,1136.74,2025-03-23,South,Pending,1136.74
ORD01913,CUST0041,Tablet,1,315.33,2025-08-19,South,Completed,315.33
ORD01741,CUST0260,Keyboard,1,1488.23,2025-02-07,South,Pending,1488.23
ORD00638,CUST0029,Headphones,5,1090.2,2025-03-22,North,Completed,5451.0
ORD01579,CUST0090,Charger,3,1324.09,2025-04-05,North,Completed,3972.27
ORD01261,CUST0129,Charger,1,543.28,2025-08-12,East,Completed,543.28
ORD01270,CUST0122,Monitor,1,887.04,2025-02-28,South,Pending,887.04
ORD00147,CUST0146,Tablet,5,1004.03,2025-01-12,West,Pending,5020.15
ORD00411,CUST0293,Monitor,3,1092.56,2025-02-26,North,Unknown,3277.68
ORD00919,CUST0268,Headphones,2,1273.02,2025-01-06,South,Pending,2546.04
ORD01318,CUST0038,Webcam,1,655.73,2025-08-27,East,Pending,655.73
ORD00667,CUST0074,Tablet,1,660.74,2025-02-04,South,Unknown,660.74
ORD01202,CUST0144,Webcam,1,729.23,2025-01-24,East,Cancelled,729.23
ORD00301,CUST0096,Charger,4,53.5,2025-06-07,West,Pending,214.0
ORD00889,CUST0192,Headphones,3,734.03,2025-07-22,South,Pending,2202.09
ORD01908,CUST0254,Tablet,4,902.27,2025-04-11,North,Unknown,3609.08
ORD00230,CUST0282,Keyboard,4,982.81,2025-08-14,West,Unknown,3931.24
ORD01553,CUST0188,Keyboard,2,1440.98,2025-05-06,East,Completed,2881.96
ORD01832,CUST0099,Keyboard,2,358.99,2025-01-12,South,Pending,717.98
ORD00695,CUST0047,Webcam,5,1281.48,2025-03-29,East,Completed,6407.4
ORD01355,CUST0197,Webcam,5,1160.25,2025-06-01,East,Unknown,5801.25
ORD01481,CUST0213,Monitor,2,1477.88,2025-07-24,East,Completed,2955.76
ORD00722,CUST0023,Laptop,4,1102.88,2025-05-10,West,Pending,4411.52
ORD00475,CUST0258,Mouse,3,1182.47,2025-03-19,North,Cancelled,3547.41
ORD01676,CUST0276,Mouse,4,1036.0,2025-06-08,South,Completed,4144.0
ORD00738,CUST0148,Laptop,2,536.15,2025-04-27,North,Pending,1072.3
ORD01166,CUST0233,Charger,1,301.38,2025-05-01,East,Completed,301.38
ORD01242,CUST0280,Headphones,5,1025.17,2025-08-08,North,Completed,5125.85
ORD01497,CUST0204,Webcam,1,862.41,2025-05-04,South,Unknown,862.41
ORD00587,CUST0117,Laptop,1,1168.35,2025-04-08,East,Pending,1168.35
ORD00142,CUST0286,Laptop,5,1394.34,2025-08-01,East,Completed,6971.7
ORD00378,CUST0001,Laptop,4,662.95,2025-04-18,West,Completed,2651.8
ORD00398,CUST0227,Webcam,3,1095.91,2025-06-04,North,Pending,3287.73
ORD01912,CUST0068,Webcam,3,1075.23,2025-02-13,East,Completed,3225.69
ORD00238,CUST0134,Webcam,1,362.09,2025-06-20,West,Cancelled,362.09
ORD01157,CUST0166,Webcam,1,234.25,2025-04-28,West,Cancelled,234.25
ORD00563,CUST0125,Laptop,1,875.8,2025-06-26,South,Pending,875.8
ORD01991,CUST0070,Webcam,1,1116.44,2025-05-16,South,Pending,1116.44
ORD01911,CUST0012,Charger,5,1015.2,2025-03-09,South,Pending,5076.0
ORD01524,CUST0165,Charger,3,1173.64,2025-02-14,East,Completed,3520.92
ORD01892,CUST0292,Monitor,2,502.23,2025-01-27,North,Pending,1004.46
ORD00839,CUST0084,Charger,4,434.55,2025-07-12,South,Completed,1738.2
ORD01370,CUST0257,Keyboard,1,407.29,2025-02-14,North,Cancelled,407.29
ORD00559,CUST0128,Charger,4,378.27,2025-01-09,West,Unknown,1513.08
ORD01484,CUST0009,Headphones,1,974.57,2025-03-24,South,Pending,974.57
ORD00263,CUST0164,Monitor,3,476.25,2025-01-12,East,Pending,1428.75
ORD01085,CUST0062,Keyboard,4,67.17,2025-02-19,West,Completed,268.68
ORD00368,CUST0184,Laptop,1,1053.84,2025-05-26,South,Pending,1053.84
ORD00455,CUST0060,Webcam,5,725.75,2025-05-27,South,Completed,3628.75
ORD01197,CUST0192,Mouse,1,343.78,2025-07-31,South,Completed,343.78
ORD00285,CUST0223,Headphones,4,456.63,2025-07-20,East,Cancelled,1826.52
ORD01897,CUST0288,Laptop,3,1243.74,2025-08-18,West,Unknown,3731.22
