order_id,customer_id,product,quantity,unit_price,order_date,region,status
ORD01707,CUST0130,Mouse,4,1221.54,2025-04-11,North,Pending
ORD00111,CUST0074,Monitor,4,960.48,28/04/2025,SOUTH,Completed
ORD01465,CUST0272,Headphones,,42.56,2025-07-17, East ,
ORD00197,CUST0103,Keyboard,2,1187.66,07/01/2025,north,PENDING
ORD00573,CUST0132,Laptop,3,338.88,2025-07-03,North,Pending
ORD01534,CUST0199,Headphones,,1197.23,04/04/2025,West,Cancelled
ORD00976,CUST0070,Webcam,,1125.53,05/05/2025,North,Completed
ORD00493,CUST0267,Headphones,,402.34,05-20-2025,South,completed
ORD01128,,Laptop,,57.86,2025-07-12,north,Pending
ORD01471,CUST0038,Charger,3,703.92,08-16-2025,South,
ORD00361,CUST0016,Charger,,645.73,2025-04-01,South,Cancelled
ORD00431,CUST0152,Headphones,4,84.62,2025-07-28, East ,Completed
ORD00329,CUST0227,Monitor,1,1345.92,2025-02-05,north,
ORD00566,CUST0225,Monitor,1,1036.98,04-02-2025,South,Cancelled
ORD00958,CUST0044,Webcam,2,648.9,28/06/2025,South,completed
ORD00756,CUST0062,Webcam,5,1102.11,05/01/2025,South,PENDING
ORD01607,CUST0002,Charger,,357.28,01-13-2025,North,completed
ORD01304,CUST0052,Keyboard,1,1252.45,01-07-2025,South,Completed
ORD00876,CUST0279,Tablet,,524.42,07-27-2025,West,Pending
ORD01808,CUST0066,Keyboard,,874.5,2025-06-21,South,
ORD01544,CUST0294,Charger,4,578.12,2025-05-02, East ,Cancelled
ORD01086,CUST0027,Charger,4,792.21,06-29-2025,South,Pending
ORD00902,CUST0122,Tablet,5,1131.06,2025-04-09,East,Completed
ORD00641,CUST0045,Tablet,2 ,563.66,01/08/2025,South,PENDING
ORD00594,CUST0227,Keyboard,4,76.87,2025-07-29,South,
ORD01314,CUST0277,Monitor,1,737.67,2025-07-30,East,Pending
ORD01790,CUST0117,Tablet,5 ,1158.55,10/04/2025,SOUTH,Cancelled
ORD01884,CUST0094,Charger,5 ,172.07,10/06/2025,West,PENDING
ORD01519,CUST0051,Mouse,1,1450.43,03/03/2025,north,
ORD01495,CUST0296,Headphones,2,498.64,04-06-2025,South,PENDING
ORD01265,CUST0178,Mouse,4,901.24,2025-06-06,north,completed
ORD00818,CUST0102,Headphones,,1279.23,13/01/2025,north,completed
ORD01781,,Charger,5,1091.32,02-15-2025,SOUTH,Pending
ORD01909,CUST0207,Charger,,203.74,05/02/2025,North,PENDING
ORD01178,CUST0250,Mouse,2,1034.13,07/04/2025,SOUTH,completed
ORD01119,CUST0198,Webcam,3,746.37,05-04-2025,West,PENDING
ORD01949,CUST0233,Mouse,3,1243.12,2025-02-21,South,
ORD00928,CUST0029,Laptop,3,1276.39,2025-04-13,north,completed
ORD01752,CUST0208,Laptop,5,457.51,09/08/2025,North,Pending
ORD00205,CUST0255,Headphones,,1435.41,2025-05-04, East ,
ORD01595,CUST0036,Keyboard,2,939.81,23/06/2025,South,Completed
ORD00173,CUST0114,Tablet,3,1396.4,2025-04-17,West,PENDING
ORD00528,CUST0278,Laptop,4,563.08,22/03/2025,north,Cancelled
ORD01163,CUST0224,Charger,3,1269.19,06-26-2025,West,
ORD00888,CUST0061,Charger,1,190.09,27/05/2025,North,PENDING
ORD01959,CUST0158,Webcam,,352.06,2025-06-15,North,Pending
ORD01079,CUST0102,Tablet,,1474.56,31/01/2025,West,PENDING
ORD01383,CUST0243,Monitor,3 ,1087.82,03/06/2025,West,
ORD01978,CUST0225,Laptop,2,860.85,2025-04-23,South,Completed
